 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO57967,LUMINET,ABRIL,14/4/2026,,,KEVIN TORRES,LEONARDO RODRÍGUEZ,, TRAMITES ADUANALES EXPRESS,"Luminet, SIDP-20, TRAMITES ADUANALES EXPRESS, SITIO: GAMAS- TRAMITES ADUANALES EXPRESS",,"-3,451",,"-3,451",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Piedras Negras,24,EMPRESARIAL,EAC,DECREMENTO,NO,"-82,824.00",SÍ,,,,,Decremento por retención y renovación de la cuenta 
SO58209,XCIEN,ABRIL,15/4/2026,17/4/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,,FERNANDO ALFREDO GONZALEZ HERNANDEZ,"Sandur, SIMP-20, FERNANDO ALFREDO GONZALEZ HERNANDEZ, SITIO: SAN PEDRO",,959,,959,SÍ,NO,NO,PYME,PYME,20,ON,Capitolio,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"34,524.00",SÍ,,,,,Incremento por renovación de contrato
SO57736,XCIEN,ABRIL,15/4/2026,17/4/2026,SI,CECILIA NUÑEZ,PEDRO PAEZ,JONATHAN TORRES,I-LOG DE MEXICO,"Sandur, SIDP-20, I-LOG DE MEXICO, SITIO TRANSPORTES ORTIZ","[SO57736] Sandur, SIDP-20, I-LOG DE MEXICO",400,,400,SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Loft,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"14,400.00",SÍ,,,,,
SO58195,XCIEN,ABRIL,15/4/2026,,,EDWIN GARZA,LEONARDO RODRÍGUEZ,LEONARDO RODRÍGUEZ,FERROS TRUCKING,"Sandur, SIMP-20, FERROS TRUCKING, SITIO: AMBROZ 108  // FASE 3 BLINDAJE",,-199,,-199,SÍ,NO,NO,PYME,PYME,20,ON,Santa Rosa,36,EMPRESARIAL,EAC,DECREMENTO,NO,"-7,164.00",SÍ,,,,,Decremento de costo por renovación de la cuenta
SO57706,XCIEN,MAYO,15/4/2026,4/5/2026,SI,SERGIO ABREGO,PEDRO PAEZ,LEONARDO RODRÍGUEZ,GARAGE Y TALLERES,"Sandur, SIDP-20, GARAGE Y TALLERES, SITIO: LOTE 51 LINCOLN","[SO57706] Sandur, SIDP-20, GARAGE Y TALLERES","1,800",,"1,800",SÍ,NO,SÍ,DEDICADO,DEDICADO,20,ON,Pda,36,EMPRESARIAL,VENTA DIRECTA,DEMO,NO,"64,800.00",NO,,,,,Servicio a prueba por una semana a partir de su instalación
SO58156,XCIEN,ABRIL,16/4/2026,,,EDWIN GARZA,IRIS RAMÍREZ,IRIS RAMÍREZ,CASAS JAVER,"Sandur, AD-LTE/100, CASAS JAVER, Brisas del Valle",,,0,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,ALTA DISPONIBILIDAD,,ON,,24,EMPRESARIAL,EAC,DEMO,NO,0.00,NO,,,,,Oportunidad se crea para instalaicón de equipo que no venía contemplado en la anterior tarea
SO58007,XCIEN,ABRIL,16/4/2026,,,EDWIN GARZA,IRIS RAMÍREZ,,FOMENTO EMPRESARIAL INMOBILIARIO,"Sandur, [SIN PRODUCTO], FOMENTO EMPRESARIAL INMOBILIARIO, CV CONSTANZA 2",,,"19,289","19,289",SÍ,NO,NO,,,,OFF,,,EMPRESARIAL,EAC,VISITA TÉCNICA,NO,0.00,NO,,,,,Desinstalación de torre y resguardo de Fomento
SO58187,HUUS,ABRIL,16/4/2026,,CANCELADA,NANCY FUENTES,ADRIANA CABALLERO,FRANCISCO VILLATORO,COMERCIALIZADORA DEALER SHOP,"HUUS, SIDP-200, COMERCIALIZADORA DEALER SHOP, SITIO: HUIXQUILUCAN","[Offnet:SO58187] HUUS, SIDP-200, COMERCIALIZADORA DEALER SHOP","15,050",,"15,050",SÍ,SÍ,SÍ,DEDICADO,DEDICADO,200,OFF,IENTC,12,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,CANCELADA,"180,600.00",SÍ,,,,,
SO58266,XCIEN,ABRIL,16/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col Ricardo Flores Magon",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58264,XCIEN,ABRIL,16/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col Jesus Cabello",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58262,XCIEN,ABRIL,16/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col. Los Gonzalez",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58258,XCIEN,ABRIL,16/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col Maria cristina cavazos",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58256,XCIEN,ABRIL,16/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Julio cervantes  y nacional ( Bellavista )",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58241,XCIEN,ABRIL,16/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Ampliacion 26 de Marzo",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58262,XCIEN,ABRIL,16/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col. Los Gonzalez",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58267,XCIEN,ABRIL,16/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Nueva Jerusalen",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58260,XCIEN,ABRIL,16/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col 26 de Marzo",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58236,XCIEN,ABRIL,17/4/2026,21/4/2026,SI,EDWIN GARZA,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,DEACERO,"Sandur, SIDP-20, DEACERO, SITIO: ACERÍA SALTILLO","[SO58236] Sandur, SIDP-20, DEACERO","5,700",,"5,700",SÍ,NO,SÍ,DEDICADO,DEDICADO,20,ON,Mecasa Ramos,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"205,200.00",ODC,,,,,Precio incluye 4 ips adicionales
SO58290,XCIEN,ABRIL,17/4/2026,,,SERGIO ABREGO,DANIEL GONZÁLEZ,,J.T. INTERNACIONAL,"Sandur, SA-WIFI-A, J.T. INTERNACIONAL, SITIO: ESCOBEDO",,,0,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,WIFI ADMINISTRADO,,ON,,,EMPRESARIAL,EAC,CORTESÍA,NO,0.00,S/D,,,,,
SO58247,XCIEN,ABRIL,17/4/2026,8/5/2026,SI,KEVIN TORRES,JUAN ESCAMILLA,DANIEL GONZÁLEZ,SEYCVEL,"Sandur, SDWAN Plus - 20, SEYCVEL, Sitio: Escobedo 1","[SO58247] Sandur, SDWAN Plus - 20, SEYCVEL","4,000",,"4,000",SÍ,SÍ,NO,SERVICIOS ADMINISTRADOS,ALTA DISPONIBILIDAD,20,ON,,24,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"96,000.00",SÍ,,,,,
SO57886,XCIEN,ABRIL,17/4/2026,4/5/2026,SI,KEVIN TORRES,PEDRO MARTÍNEZ,LEONARDO RODRÍGUEZ,KINGSPAN INSULATED PANELS,"SIDP-1G, KINGSPAN INSULATED PANELS, SITIO: AIRPORT TECHNOLOGY PARK","[SO57886] Sandur, SIDP-1G, KINGSPAN INSULATED PANELS","25,800",,"25,800",SÍ,NO,NO,DEDICADO,DEDICADO,1000,OFF,NN,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"928,800.00",SÍ,,,,,
SO58170,XCIEN,ABRIL,20/4/2026,20/4/2026,SI,CECILIA NUÑEZ,JUAN ESCAMILLA,DANIEL GONZÁLEZ,DEQUINTER,"Sandur, SIMP-15, DEQUINTER, PASEO REAL","[SO58170] Sandur, SIMP-15, DEQUINTER",400,,400,SÍ,NO,NO,PYME,PYME,15,ON,Mirasur,12,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"4,800.00",SÍ,,,,,
SO58254,XCIEN,ABRIL,20/4/2026,,,EDWIN GARZA,JONATHAN TORRES,,RAMIRO LINARES FONZALEZ,"MIGRACIÓN DE RB POR OBSTRUCCIÓN / Sandur, SIDP-1G, RAMIRO LINARES GONZALEZ, SITIO VALLE DEL NORTE",,,0,0,SÍ,NO,NO,,,1000,ON,Rojas,26,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,,,
SO58302,LUMINET,ABRIL,20/4/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA  ( ORQUESTA FILARMONICA DEL DESIERTO ),"Luminet, SIEV-20-1, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA  ( ORQUESTA FILARMONICA DEL DESIERTO ), Teatro de la ciudad 4 2026",,,0,0,SÍ,NO,NO,DEDICADO,EVENTUAL,20,ON,Jolla,,GOBIERNO,OTRO,EVENTUAL,NO,0.00,NO,,,,,
SO57410,LUMINET,ABRIL,20/4/2026,,,CECILIA NUÑEZ,FELIPE CAZARES,DANIEL GONZÁLEZ,SLW BUSINESS CENTER,"Sandur, SIDP-100 + AD, SLW BUSINESS CENTER, SITIO EL ROSARIO KRONOS","[SO57410] Sandur, SIDP-100 + AD, SLW BUSINESS CENTER","6,500",,"6,500",SÍ,SÍ,SÍ,DEDICADO,DEDICADO/AD,100,ON,Loft,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"234,000.00",SÍ,,,,,
SO57409,LUMINET,ABRIL,20/4/2026,,,CECILIA NUÑEZ,FELIPE CAZARES,DANIEL GONZÁLEZ,SLW BUSINESS CENTER,"Sandur, SIDP-100 + AD, SLW BUSINESS CENTER, SITIO SLW SANTA ISABEL","[SO57409] Sandur, SIDP-100 + AD, SLW BUSINESS CENTER","6,500",,"6,500",SÍ,SÍ,SÍ,DEDICADO,DEDICADO/AD,100,ON,Loft,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"234,000.00",SÍ,,,,,
SO58259,XCIEN,ABRIL,20/4/2026,27/4/2026,SI,CECILIA NUÑEZ,CLAUDIA NIETO,,DIANA YAEL OVIEDO GONZALEZ,"Sandur, SIDP-40, DIANA YAEL OVIEDO GONZALEZ, SITIO REPETIDORA PESQUERÍA LEE",,,0,0,SÍ,NO,NO,DEDICADO,DEDICADO,40,ON,Pesquería Lee,,OTRO,OTRO,UPGRADE,SÍ,0.00,S/D,,,,,
SO58281,XCIEN,ABRIL,20/4/2026,,,SERGIO ABREGO,LEONARDO RODRÍGUEZ,,CUBIC 33 MEXICO,"Sandur, SST-S, CUBIC 33 MEXICO, SITIO: OBRA ORIZABA",,,0,0,SÍ,NO,NO,,,,N/A,,,EMPRESARIAL,EAC,VISITA TÉCNICA,NO,0.00,NO,,,,,
SO58232,XCIEN,ABRIL,21/4/2026,14/5/2026,SI,SERGIO ABREGO,DAVID REYES,DANIEL GONZÁLEZ,TRAK TRANSPORTACIONES,"Sandur, SIDP-100 + AD, TRAK TRANSPORTACIONES, Milimex Cienega de Flores","[SO58232] Sandur, SIDP-100 + AD, TRAK TRANSPORTACIONES","9,500",,"9,500",NO,SÍ,SÍ,DEDICADO,DEDICADO/AD,100,ON,Denis,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"342,000.00",SÍ,,,,,
SO58243,XCIEN,ABRIL,21/4/2026,28/4/2026,SI,EDWIN GARZA,PEDRO PAEZ,JONATHAN TORRES,MONGAS,"Sandur, SIDP-30, MONGAS, SITIO CARRETERA APODACA VILLA DE JUAREZ","[SO58243] Sandur, SIDP-30, MONGAS",101,,101,SÍ,NO,NO,DEDICADO,DEDICADO,30,ON,Pueblo Nuevo,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"3,636.00",SÍ,,,,,
SO56747,XCIEN,ABRIL,21/4/2026,4/5/2026,SI,EDWIN GARZA,JAIME GARZA,IRIS RAMÍREZ,GÜNTNER DE MEXICO,"Sandur, SIDP-100 + AD, GÜNTNER DE MEXICO, SITIO EL MILAGRO","[SO56747] Sandur, SIDP-100 + AD, GÜNTNER DE MEXICO","1,800",,"1,800",SÍ,NO,NO,DEDICADO,DEDICADO/AD,100,ON,Industrial Apodaca,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"64,800.00",SÍ,,,,,Promo
SO58205,XCIEN,ABRIL,21/4/2026,8/5/2026,SI,SERGIO ABREGO,JORGE DE LA GARZA,IRIS RAMÍREZ,SOLUCIONES DE ALTURA,"Sandur, SIDP-200, SOLUCIONES DE ALTURA, Sitio: SDA- BENITO","[SO58205] Sandur, SIDP-200, SOLUCIONES DE ALTURA","15,000",,"15,000",SÍ,NO,SÍ,DEDICADO,DEDICADO,200,ON,Guadalupe,12,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"180,000.00",SÍ,,,,,
SO58349,XCIEN,ABRIL,22/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col . Lomas Verdes",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58350,XCIEN,ABRIL,22/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col Las haciendas",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58353,XCIEN,ABRIL,22/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col Diana Laura",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58357,XCIEN,ABRIL,22/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Las teresitas",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58358,XCIEN,ABRIL,22/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col Vicente Guerrero",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58356,XCIEN,ABRIL,22/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col 15 de abril",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO55892,XCIEN,ABRIL,22/4/2026,29/4/2026,SI,SERGIO ABREGO,JORGE DE LA GARZA,,ALARMAS Y PROYECTOS DE SEGURIDAD DEL NORTE,"Sandur, SIDP-30, ALARMAS Y PROYECTOS DE SEGURIDAD DEL NORTE, Sitio: Guadalupe","[SO55892] Sandur, SIDP-30, ALARMAS Y PROYECTOS DE SEGURIDAD DEL NORTE","3,000",,"3,000",NO,SÍ,SÍ,DEDICADO,DEDICADO,30,ON,Guadalupe,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"108,000.00",SÍ,,,,,
SO58035,XCIEN,ABRIL,22/4/2026,,,EDWIN GARZA,LEONARDO RODRÍGUEZ,LEONARDO RODRÍGUEZ,MEXIPC,"Sandur, SIDP-100, MEXIPC, SITIO: DACE PIA QRO. // RENOVACION FASE 2",,"-1,100",,"-1,100",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Colorado,36,EMPRESARIAL,EAC,DECREMENTO,NO,"-39,600.00",SÍ,,,,,Decremento de costo y renovación del conrato
SO58371,XCIEN,ABRIL,23/4/2026,,,KEVIN TORRES,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,INTERMEX MANUFACTURA DE CHIHUAHUA,"Sandur, SIDP-500, INTERMEX MANUFACTURA DE CHIHUAHUA, SITIO: YINLUN PLANTA 2 CIENEGA DE FLORES",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,500,ON,Norte,,EMPRESARIAL,VENTA DIRECTA,CORTESÍA,NO,0.00,S/D,,,,,Se pondrá servicio de MO en lo que se termina de instalar el servicio de FO contratado
SO57888,HUUS,ABRIL,23/4/2026,,,NANCY FUENTES,ANA GARZA,,VERIFICENTRO DEL NORTE RENACE,VERIFICENTRO DEL NORTE RENACE,,"4,320",,"4,320",SÍ,NO,NO,,,,N/A,,18,EMPRESARIAL,EAC,RENOVACIÓN,NO,"77,760.00",SÍ,,,,,Renovación de servicio mismo costo
SO57887,HUUS,ABRIL,23/4/2026,,,NANCY FUENTES,ANA GARZA,,ASOCIADOS RENACE LAREDO,ASOCIADOS RENACE LAREDO,,"4,699",,"4,699",SÍ,NO,NO,,,,N/A,,18,EMPRESARIAL,EAC,RENOVACIÓN,NO,"84,582.00",SÍ,,,,,Renovación de servicio mismo costo
SO58228,HUUS,ABRIL,23/4/2026,,,NANCY FUENTES,ANA GARZA,,LAREDO VERIFICACIONES RENACE,LAREDO VERIFICACIONES RENACE,,"6,499",,"6,499",SÍ,NO,NO,,,,N/A,,18,EMPRESARIAL,EAC,RENOVACIÓN,NO,"116,982.00",SÍ,,,,,Renovación de servicio mismo costo
SO57615,LUMINET,ABRIL,23/4/2026,5/5/2026,SI,EDWIN GARZA,DANIEL GONZÁLEZ,,MONTREAL DEL POTOSI,"Luminet, SIDP-100, MONTREAL DEL POTOSI, CAMPUS SOLEDAD",,"6,500",,"6,500",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Edificio Eme,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"234,000.00",SÍ,,,,,Incremento de velocidda por renación a mismo costo
SO58392,XCIEN,ABRIL,23/4/2026,,,,JONATHAN TORRES,,RED ESTATAL DE AUTOPISTAS DE NUEVO LEON,RED ESTATAL DE AUTOPISTAS DE NUEVO LEON,,"127,219",,"127,219",SÍ,NO,NO,,,,N/A,,11,EMPRESARIAL,EAC,RENOVACIÓN,NO,"1,399,403.72",SÍ,,,,,Se confirma venta para facturación de REA
SO58393,XCIEN,ABRIL,23/4/2026,,,,JONATHAN TORRES,,RED ESTATAL DE AUTOPISTAS DE NUEVO LEON,RED ESTATAL DE AUTOPISTAS DE NUEVO LEON,,"141,419",,"141,419",SÍ,NO,NO,,,,N/A,,11,EMPRESARIAL,EAC,RENOVACIÓN,NO,"1,555,613.51",SÍ,,,,,Se confirma venta para facturación de REA
SO58394,XCIEN,ABRIL,23/4/2026,,,,JONATHAN TORRES,,RED ESTATAL DE AUTOPISTAS DE NUEVO LEON,RED ESTATAL DE AUTOPISTAS DE NUEVO LEON,,"100,139",,"100,139",SÍ,NO,NO,,,,N/A,,11,EMPRESARIAL,EAC,RENOVACIÓN,NO,"1,101,531.86",SÍ,,,,,Se confirma venta para facturación de REA
SO58366,XCIEN,ABRIL,24/4/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, Col 26 de Marzo ( camara 2)",,,"22,590","22,590",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,Pago único
SO58048,LUMINET,ABRIL,24/4/2026,27/4/2026,SI,EDWIN GARZA,FELIPE CAZARES,DANIEL GONZÁLEZ,R.A. PHILLIPS INDUSTRIES DE MEXICO,"Sandur, SIPHA-IPv4, R.A. PHILLIPS INDUSTRIES DE MEXICO, PARQUE INDUSTRIAL DAVISA","[SO58048] Sandur, SIPHA-IPv4, R.A. PHILLIPS INDUSTRIES DE MEXICO","1,400",,"1,400",SÍ,NO,NO,SERVICIOS ADMINISTRADOS,IP ADICIONAL,,ON,,12,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"16,800.00",ODC,,,,,
SO58348,XCIEN,ABRIL,24/4/2026,25/4/2026,SI,EDWIN GARZA,PEDRO MARTÍNEZ,CARLOS ALONSO,AUTO LINEAS ROGA,"Sandur, SIDP-40, AUTO LINEAS ROGA, Roga Apodaca","[SO58348] Sandur, SIDP-40, AUTO LINEAS ROGA",900,,900,SÍ,NO,NO,DEDICADO,DEDICADO,40,ON,Sta. Rosa,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"32,400.00",SÍ,,,,,Renovación
SO58343,XCIEN,ABRIL,24/4/2026,25/4/2026,SI,NANCY FUENTES,JUAN ESCAMILLA,DANIEL GONZÁLEZ,DEQUINTER,"Sandur, SIMP-20, DEQUINTER, PASEO REAL","[SO58343] Sandur, SIMP-20, DEQUINTER",201,,201,SÍ,NO,NO,PYME,PYME,20,ON,Mirasur,24,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"4,824.00",SÍ,,,,,
SO58342,XCIEN,ABRIL,24/4/2026,25/4/2026,SI,CECILIA NUÑEZ,JUAN ESCAMILLA,DANIEL GONZÁLEZ,DEQUINTER,"Sandur, SIMP-20, DEQUINTER, Montes Sabinos Bodega","[SO58342] Sandur, SIMP-20, DEQUINTER",201,,201,SÍ,NO,NO,PYME,PYME,20,ON,Pda,24,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"4,824.00",SÍ,,,,,
SO58273,HUUS,ABRIL,26/4/2026,,,NANCY FUENTES,RAFAEL PÉREZ,FRANCISCO VILLATORO,ARNULFO SANCHEZ LOPEZ,"HUUS, SIDP-1.5G, ARNULFO SANCHEZ LOPEZ, SITIO: HUEJOTZINGO","[Offnet:SO58273] HUUS, SIDP-1.5G, ARNULFO SANCHEZ LOPEZ","28,000",,"28,000",NO,SÍ,SÍ,DEDICADO,DEDICADO,1500,OFF,IENTC,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"1,008,000.00",SÍ,,,,,
SO58429,XCIEN,ABRIL,27/4/2026,,,,IRIS RAMÍREZ,,FOMENTO EMPRESARIAL INMOBILIARIO,"Sandur, CDD, FOMENTO EMPRESARIAL INMOBILIARIO, BO BUENA VISTA 3 EL CARMEN",,,0,0,SÍ,NO,NO,,,,N/A,,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,
